ma_vt,ten_vt,sl_ban_ra,tien_ban_ra,last_date,extra
1403542,Bộ nhớ DDR3 Kingston 4GB (1600) Hyper X Fury (HX316C10FR/4) (Đỏ),2.0,1745454.0,2018-09-25T00:00:00,893.0
1403549,Bộ nhớ DDR3 Kingston 4GB (1600) Hyper X Fury (HX316C10F/4) (Xanh),1.0,863636.0,2018-10-04T00:00:00,941.0
1403602,Loa Soundmax A960 (2.1),30.0,26978184.0,2018-10-09T00:00:00,551.0
1403669,Pin dùng cho laptop Asus A32-K56 (6cell),3.0,1453635.0,2018-10-08T00:00:00,675.0
1403671,Máy in Epson T82 II USB,1.0,3259091.0,2018-09-17T00:00:00,21.0
1403762,Thẻ cào Kingston,606.0,0.0,2018-09-21T00:00:00,0.0
1403776,ổ cứng di động/ USB Apacer 16GB AH353,9.0,1186457.0,2018-10-07T00:00:00,882.0
1403778,ổ cứng di động/ USB Apacer 16GB AH333,88.0,10743654.0,2018-10-08T00:00:00,831.0
1403779,ổ cứng di động/ USB Apacer 16GB AH334,83.0,9647283.0,2018-10-09T00:00:00,234.0
1403784,Phần mềm Office 365 Business Opn ShrdSvr SNGL SubsVL OLP NL Qualifiel Annual  (J29-00003),5.0,10150000.0,2018-10-09T00:00:00,469.0
1403786,ổ cứng di động/ USB Apacer 32GB AH333,39.0,7076360.0,2018-10-08T00:00:00,243.0
1403787,ổ cứng di động/ USB Apacer 32GB AH334,25.0,4527269.0,2018-10-08T00:00:00,895.0
1403825,Bàn phím laptop HP Probook  4440S/4441S/4445S/4446S (Cáp ngắn),1.0,363636.0,2018-09-13T00:00:00,396.0
1403830,Ba lô Targus TSB 800AP,1.0,1050000.0,2018-09-26T00:00:00,640.0
1403837,Máy hủy giấy Bosser 240X,1.0,8363636.0,2018-09-26T00:00:00,35.0
1403862,Tai nghe Microlab K-360,61.0,19802701.0,2018-10-09T00:00:00,67.0
1403894,Box ổ cứng 2.5'' Transcend (Bạc),27.0,8315536.0,2018-10-08T00:00:00,367.0
1403955,Máy in Brother HL-L2361DN,10.0,28090910.0,2018-10-07T00:00:00,350.0
